date,Temp
2017-12-01,289.4356236169082
2017-12-02,289.2657622474211
2017-12-03,289.00576677049906
2017-12-04,288.81969096718865
2017-12-05,288.5410870137955
2017-12-06,288.33485250033795
2017-12-07,288.31470609393705
2017-12-08,288.09342466552243
2017-12-09,287.8822516122574
2017-12-10,287.58812229063506
2017-12-11,287.37652120338703
2017-12-12,287.0822108757726
2017-12-13,286.8710496198098
2017-12-14,286.8574456779183
2017-12-15,286.6545810742406
2017-12-16,286.47381516055816
2017-12-17,286.22191376566184
2017-12-18,286.0639183272746
2017-12-19,285.8338944306325
2017-12-20,285.6967762113933
2017-12-21,285.7658531689819
2017-12-22,285.6530315997826
2017-12-23,285.56827938096956
2017-12-24,285.41689866060455
2017-12-25,285.36243942573276
2017-12-26,285.2374919554754
2017-12-27,285.2055732343983
2017-12-28,285.3786525677955
2017-12-29,285.367447422202
2017-12-30,285.3808971909755
