date,Temp
2017-12-01,288.59564183812955
2017-12-02,288.42823200683864
2017-12-03,288.20756484499356
2017-12-04,288.0502855576103
2017-12-05,287.8826798015492
2017-12-06,287.8590904095588
2017-12-07,287.8000346145855
2017-12-08,287.59478977971753
2017-12-09,287.40536944918085
2017-12-10,287.16996087652535
2017-12-11,287.0055062981322
2017-12-12,286.83844115348995
2017-12-13,286.82311506798897
2017-12-14,286.77991677235127
2017-12-15,286.59787059819405
2017-12-16,286.43862592128755
2017-12-17,286.2399102019106
2017-12-18,286.1181273374437
2017-12-19,285.99911394720203
2017-12-20,286.03657881361613
2017-12-21,286.05024607039377
2017-12-22,285.92846921954686
2017-12-23,285.83223683381317
2017-12-24,285.69864013652864
2017-12-25,285.64348378756006
2017-12-26,285.59205219031526
2017-12-27,285.69755632858664
2017-12-28,285.7792816033111
2017-12-29,285.7252037275135
2017-12-30,285.6959936084142
