date,Temp
2017-12-01,279.4473681265638
2017-12-02,279.46608129961083
2017-12-03,279.3080722731598
2017-12-04,279.2004519707817
2017-12-05,279.14212329789524
2017-12-06,278.92820113474124
2017-12-07,278.88051247451074
2017-12-08,278.75144457152726
2017-12-09,278.70251105136225
2017-12-10,278.4719625646315
2017-12-11,278.2889482546384
2017-12-12,278.1544640317436
2017-12-13,277.8657257267448
2017-12-14,277.74662321046594
2017-12-15,277.5515244307243
2017-12-16,277.4438003318015
2017-12-17,277.16339815335243
2017-12-18,276.94097017412884
2017-12-19,276.77879455030063
2017-12-20,276.47512682512365
2017-12-21,276.35463853945777
2017-12-22,276.1722120693636
2017-12-23,276.0914626633509
2017-12-24,275.852315020388
2017-12-25,275.6851411635925
2017-12-26,275.591695807251
2017-12-27,275.36948721652914
2017-12-28,275.34223930649927
2017-12-29,275.26371334042994
2017-12-30,275.29625937432945
