date,Temp
2017-12-01,279.40110102499216
2017-12-02,279.3517717226219
2017-12-03,279.18526859889647
2017-12-04,279.06765189059524
2017-12-05,278.9417806328298
2017-12-06,278.74147365282107
2017-12-07,278.7292700300809
2017-12-08,278.6120461461385
2017-12-09,278.5628166645916
2017-12-10,278.39510347989864
2017-12-11,278.27517902479997
2017-12-12,278.14614288946353
2017-12-13,277.9420816092242
2017-12-14,277.9258279906622
2017-12-15,277.80457700140005
2017-12-16,277.75168544741285
2017-12-17,277.5810393465314
2017-12-18,277.45929525273283
2017-12-19,277.32995435115595
2017-12-20,277.1275190575515
2017-12-21,277.11524838647887
2017-12-22,277.00076903318217
2017-12-23,276.95786934400064
2017-12-24,276.80086007204864
2017-12-25,276.69680820200006
2017-12-26,276.58960273707095
2017-12-27,276.41410230005476
2017-12-28,276.43388097520244
2017-12-29,276.3568295402354
2017-12-30,276.3569395054171
